Position_x,Position_y,value
0.75,0.1,0.212304
0.8,0.1,0.0826865
0.85,0.1,-0.0550445
0.9,0.1,-0.199425
0.95,0.1,-0.348581
1,0.1,-0.5
0,0.05,1.5
0.05,0.05,1.41414
0.1,0.05,1.32793
0.15,0.05,1.24149
0.2,0.05,1.15481
0.25,0.05,1.06784
0.3,0.05,0.9804
0.35,0.05,0.892271
0.4,0.05,0.803104
0.45,0.05,0.712493
0.5,0.05,0.619893
0.55,0.05,0.52476
0.6,0.05,0.426443
0.65,0.05,0.324432
0.7,0.05,0.21821
0.75,0.05,0.107593
0.8,0.05,-0.00747474
0.85,0.05,-0.126582
0.9,0.05,-0.249105
0.95,0.05,-0.373991
1,0.05,-0.5
0,0,1.5
0.05,0,1.4
0.1,0,1.3
0.15,0,1.2
0.2,0,1.1
0.25,0,1
0.3,0,0.9
0.35,0,0.8
0.4,0,0.7
0.45,0,0.6
0.5,0,0.5
0.55,0,0.4
0.6,0,0.3
0.65,0,0.2
0.7,0,0.1
0.75,0,0
0.8,0,-0.1
0.85,0,-0.2
0.9,0,-0.3
0.95,0,-0.4
1,0,-0.5
