Position_x,Position_y,value
0.25,0.1,1.47305
0.3,0.1,1.47302
0.35,0.1,1.47299
0.4,0.1,1.47297
0.45,0.1,1.47294
0.5,0.1,1.47292
0.55,0.1,1.47289
0.6,0.1,1.47286
0.65,0.1,1.47284
0.7,0.1,1.47281
0.75,0.1,1.47279
0.8,0.1,1.47276
0.85,0.1,1.47273
0.9,0.1,1.47334
0.95,0.1,1.47368
1,0.1,-0.5
0,0.05,1.5
0.05,0.05,1.47319
0.1,0.05,1.47307
0.15,0.05,1.47296
0.2,0.05,1.47285
0.25,0.05,1.47275
0.3,0.05,1.47264
0.35,0.05,1.47254
0.4,0.05,1.47243
0.45,0.05,1.47233
0.5,0.05,1.47222
0.55,0.05,1.47212
0.6,0.05,1.47201
0.65,0.05,1.47191
0.7,0.05,1.4718
0.75,0.05,1.4717
0.8,0.05,1.47159
0.85,0.05,1.47149
0.9,0.05,1.47177
0.95,0.05,1.47216
1,0.05,-0.5
0,0,1.5
0.05,0,1.4
0.1,0,1.3
0.15,0,1.2
0.2,0,1.1
0.25,0,1
0.3,0,0.9
0.35,0,0.8
0.4,0,0.7
0.45,0,0.6
0.5,0,0.5
0.55,0,0.4
0.6,0,0.3
0.65,0,0.2
0.7,0,0.1
0.75,0,0
0.8,0,-0.1
0.85,0,-0.2
0.9,0,-0.3
0.95,0,-0.4
1,0,-0.5
