Position_x,Position_y,value
0.7,0.8,1.5
0.725,0.8,1.5
0.75,0.8,1.5
0.775,0.8,1.5
0.8,0.8,1.5
0.825,0.8,1.5
0.85,0.8,1.5
0.875,0.8,1.5
0.9,0.8,1.5
0.925,0.8,-0.5
0.95,0.8,-0.5
0.975,0.8,-0.5
1,0.8,-0.5
0,0.775,1.5
0.025,0.775,1.5
0.05,0.775,1.5
0.075,0.775,1.5
0.1,0.775,1.5
0.125,0.775,1.5
0.15,0.775,1.5
0.175,0.775,1.5
0.2,0.775,1.5
0.225,0.775,1.5
0.25,0.775,1.5
0.275,0.775,1.5
0.3,0.775,1.5
0.325,0.775,1.5
0.35,0.775,1.5
0.375,0.775,1.5
0.4,0.775,1.5
0.425,0.775,1.5
0.45,0.775,1.5
0.475,0.775,1.5
0.5,0.775,1.5
0.525,0.775,1.5
0.55,0.775,1.5
0.575,0.775,1.5
0.6,0.775,1.5
0.625,0.775,1.5
0.65,0.775,1.5
0.675,0.775,1.5
0.7,0.775,1.5
0.725,0.775,1.5
0.75,0.775,1.5
0.775,0.775,1.5
0.8,0.775,1.5
0.825,0.775,1.5
0.85,0.775,1.5
0.875,0.775,1.5
0.9,0.775,-0.5
0.925,0.775,-0.5
0.95,0.775,-0.5
0.975,0.775,-0.5
1,0.775,-0.5
0,0.75,1.5
0.025,0.75,1.5
0.05,0.75,1.5
0.075,0.75,1.5
0.1,0.75,1.5
0.125,0.75,1.5
0.15,0.75,1.5
0.175,0.75,1.5
0.2,0.75,1.5
0.225,0.75,1.5
0.25,0.75,1.5
0.275,0.75,1.5
0.3,0.75,1.5
0.325,0.75,1.5
0.35,0.75,1.5
0.375,0.75,1.5
0.4,0.75,1.5
0.425,0.75,1.5
0.45,0.75,1.5
0.475,0.75,1.5
0.5,0.75,1.5
0.525,0.75,1.5
0.55,0.75,1.5
0.575,0.75,1.5
0.6,0.75,1.5
0.625,0.75,1.5
0.65,0.75,1.5
0.675,0.75,1.5
0.7,0.75,1.5
0.725,0.75,1.5
0.75,0.75,1.5
0.775,0.75,1.5
0.8,0.75,1.5
0.825,0.75,1.5
0.85,0.75,1.5
0.875,0.75,1.5
0.9,0.75,-0.5
0.925,0.75,-0.5
0.95,0.75,-0.5
0.975,0.75,-0.5
1,0.75,-0.5
0,0.725,1.5
0.025,0.725,1.5
0.05,0.725,1.5
0.075,0.725,1.5
0.1,0.725,1.5
0.125,0.725,1.5
0.15,0.725,1.5
0.175,0.725,1.5
0.2,0.725,1.5
0.225,0.725,1.5
0.25,0.725,1.5
0.275,0.725,1.5
0.3,0.725,1.5
0.325,0.725,1.5
0.35,0.725,1.5
0.375,0.725,1.5
0.4,0.725,1.5
0.425,0.725,1.5
0.45,0.725,1.5
0.475,0.725,1.5
0.5,0.725,1.5
0.525,0.725,1.5
0.55,0.725,1.5
0.575,0.725,1.5
0.6,0.725,1.5
0.625,0.725,1.5
0.65,0.725,1.5
0.675,0.725,1.5
0.7,0.725,1.5
0.725,0.725,1.5
0.75,0.725,1.5
0.775,0.725,1.5
0.8,0.725,1.5
0.825,0.725,1.5
0.85,0.725,1.5
0.875,0.725,-0.5
0.9,0.725,-0.5
0.925,0.725,-0.5
0.95,0.725,-0.5
0.975,0.725,-0.5
1,0.725,-0.5
0,0.7,1.5
0.025,0.7,1.5
0.05,0.7,1.5
0.075,0.7,1.5
0.1,0.7,1.5
0.125,0.7,1.5
0.15,0.7,1.5
0.175,0.7,1.5
0.2,0.7,1.5
0.225,0.7,1.5
0.25,0.7,1.5
0.275,0.7,1.5
0.3,0.7,1.5
0.325,0.7,1.5
0.35,0.7,1.5
0.375,0.7,1.5
0.4,0.7,1.5
0.425,0.7,1.5
0.45,0.7,1.5
0.475,0.7,1.5
0.5,0.7,1.5
0.525,0.7,1.5
0.55,0.7,1.5
0.575,0.7,1.5
0.6,0.7,1.5
0.625,0.7,1.5
0.65,0.7,1.5
0.675,0.7,1.5
0.7,0.7,1.5
0.725,0.7,1.5
0.75,0.7,1.5
0.775,0.7,1.5
0.8,0.7,1.5
0.825,0.7,1.5
0.85,0.7,1.5
0.875,0.7,-0.5
0.9,0.7,-0.5
0.925,0.7,-0.5
0.95,0.7,-0.5
0.975,0.7,-0.5
1,0.7,-0.5
0,0.675,1.5
0.025,0.675,1.5
0.05,0.675,1.5
0.075,0.675,1.5
0.1,0.675,1.5
0.125,0.675,1.5
0.15,0.675,1.5
0.175,0.675,1.5
0.2,0.675,1.5
0.225,0.675,1.5
0.25,0.675,1.5
0.275,0.675,1.5
0.3,0.675,1.5
0.325,0.675,1.5
0.35,0.675,1.5
0.375,0.675,1.5
0.4,0.675,1.5
0.425,0.675,1.5
0.45,0.675,1.5
0.475,0.675,1.5
0.5,0.675,1.5
0.525,0.675,1.5
0.55,0.675,1.5
0.575,0.675,1.5
0.6,0.675,1.5
0.625,0.675,1.5
0.65,0.675,1.5
0.675,0.675,1.5
0.7,0.675,1.5
0.725,0.675,1.5
0.75,0.675,1.5
0.775,0.675,1.5
0.8,0.675,1.5
0.825,0.675,1.5
0.85,0.675,-0.5
0.875,0.675,-0.5
0.9,0.675,-0.5
0.925,0.675,-0.5
0.95,0.675,-0.5
0.975,0.675,-0.5
1,0.675,-0.5
0,0.65,1.5
0.025,0.65,1.5
0.05,0.65,1.5
0.075,0.65,1.5
0.1,0.65,1.5
0.125,0.65,1.5
0.15,0.65,1.5
0.175,0.65,1.5
0.2,0.65,1.5
0.225,0.65,1.5
0.25,0.65,1.5
0.275,0.65,1.5
0.3,0.65,1.5
0.325,0.65,1.5
0.35,0.65,1.5
0.375,0.65,1.5
0.4,0.65,1.5
0.425,0.65,1.5
0.45,0.65,1.5
0.475,0.65,1.5
