Position_x,Position_y,value
0.7,0.825,1.52822
0.725,0.825,1.52822
0.75,0.825,1.52821
0.775,0.825,1.52822
0.8,0.825,1.52835
0.825,0.825,1.52855
0.85,0.825,1.52663
0.875,0.825,1.5192
0.9,0.825,1.52764
0.925,0.825,1.63291
0.95,0.825,1.82477
0.975,0.825,1.53662
1,0.825,-0.5
0,0.8,1.5
0.025,0.8,1.52767
0.05,0.8,1.53043
0.075,0.8,1.52881
0.1,0.8,1.5282
0.125,0.8,1.52818
0.15,0.8,1.52821
0.175,0.8,1.52822
0.2,0.8,1.52822
0.225,0.8,1.52822
0.25,0.8,1.52822
0.275,0.8,1.52822
0.3,0.8,1.52822
0.325,0.8,1.52822
0.35,0.8,1.52822
0.375,0.8,1.52822
0.4,0.8,1.52822
0.425,0.8,1.52822
0.45,0.8,1.52822
0.475,0.8,1.52822
0.5,0.8,1.52822
0.525,0.8,1.52822
0.55,0.8,1.52822
0.575,0.8,1.52822
0.6,0.8,1.52822
0.625,0.8,1.52822
0.65,0.8,1.52822
0.675,0.8,1.52822
0.7,0.8,1.52822
0.725,0.8,1.52822
0.75,0.8,1.52821
0.775,0.8,1.52822
0.8,0.8,1.52835
0.825,0.8,1.52855
0.85,0.8,1.52663
0.875,0.8,1.5192
0.9,0.8,1.52764
0.925,0.8,1.63291
0.95,0.8,1.82476
0.975,0.8,1.53661
1,0.8,-0.5
0,0.775,1.5
0.025,0.775,1.52767
0.05,0.775,1.53043
0.075,0.775,1.52881
0.1,0.775,1.5282
0.125,0.775,1.52818
0.15,0.775,1.52821
0.175,0.775,1.52822
0.2,0.775,1.52822
0.225,0.775,1.52822
0.25,0.775,1.52822
0.275,0.775,1.52822
0.3,0.775,1.52822
0.325,0.775,1.52822
0.35,0.775,1.52822
0.375,0.775,1.52822
0.4,0.775,1.52822
0.425,0.775,1.52822
0.45,0.775,1.52822
0.475,0.775,1.52822
0.5,0.775,1.52822
0.525,0.775,1.52822
0.55,0.775,1.52822
0.575,0.775,1.52822
0.6,0.775,1.52822
0.625,0.775,1.52822
0.65,0.775,1.52822
0.675,0.775,1.52822
0.7,0.775,1.52822
0.725,0.775,1.52822
0.75,0.775,1.52821
0.775,0.775,1.52822
0.8,0.775,1.52835
0.825,0.775,1.52855
0.85,0.775,1.52663
0.875,0.775,1.5192
0.9,0.775,1.52764
0.925,0.775,1.63291
0.95,0.775,1.82475
0.975,0.775,1.53661
1,0.775,-0.5
0,0.75,1.5
0.025,0.75,1.52767
0.05,0.75,1.53043
0.075,0.75,1.52881
0.1,0.75,1.5282
0.125,0.75,1.52818
0.15,0.75,1.52821
0.175,0.75,1.52822
0.2,0.75,1.52822
0.225,0.75,1.52822
0.25,0.75,1.52822
0.275,0.75,1.52822
0.3,0.75,1.52822
0.325,0.75,1.52822
0.35,0.75,1.52822
0.375,0.75,1.52822
0.4,0.75,1.52822
0.425,0.75,1.52822
0.45,0.75,1.52822
0.475,0.75,1.52822
0.5,0.75,1.52822
0.525,0.75,1.52822
0.55,0.75,1.52822
0.575,0.75,1.52822
0.6,0.75,1.52822
0.625,0.75,1.52822
0.65,0.75,1.52822
0.675,0.75,1.52822
